timestamp,frame,gaze,hand,trajectory,predicted_action,alert_flag
1744349136.23,0,unknown,unknown,unknown,unknown,NO
1744349137.02,10,unknown,unknown,unknown,unknown,NO
1744349137.72,20,unknown,unknown,unknown,unknown,NO
1744349138.43,30,unknown,unknown,unknown,unknown,NO
1744349139.15,40,unknown,unknown,unknown,unknown,NO
1744349139.86,50,unknown,unknown,center,unknown,NO
1744349140.57,60,unknown,unknown,unknown,unknown,NO
1744349141.27,70,unknown,unknown,unknown,unknown,NO
1744349142.02,80,unknown,unknown,unknown,unknown,NO
1744349142.73,90,unknown,unknown,unknown,unknown,NO
1744349143.43,100,unknown,unknown,left,unknown,NO
1744349144.14,110,unknown,unknown,left,unknown,NO
1744349144.85,120,unknown,unknown,right,unknown,NO
1744349145.56,130,unknown,unknown,left,unknown,NO
1744349146.26,140,unknown,unknown,right,unknown,NO
1744349146.97,150,unknown,unknown,right,unknown,NO
1744349147.67,160,unknown,unknown,right,unknown,NO
1744349148.38,170,unknown,unknown,left,unknown,NO
1744349149.09,180,unknown,unknown,right,unknown,NO
1744349149.79,190,unknown,unknown,right,unknown,NO
1744349150.5,200,unknown,unknown,right,unknown,NO
1744349151.21,210,unknown,unknown,right,unknown,NO
1744349151.92,220,unknown,unknown,unknown,unknown,NO
1744349152.62,230,unknown,unknown,left,unknown,NO
1744349153.32,240,left,unknown,right,unknown,NO
1744349154.04,250,unknown,open,center,unknown,NO
1744349154.74,260,unknown,unknown,left,unknown,NO
1744349155.46,270,unknown,unknown,unknown,unknown,NO
1744349156.19,280,unknown,unknown,unknown,unknown,NO
1744349156.91,290,unknown,unknown,unknown,unknown,NO
1744349157.6,300,unknown,open,unknown,unknown,NO
1744349158.32,310,unknown,open,unknown,unknown,NO
1744349159.01,320,unknown,open,unknown,unknown,NO
1744349159.72,330,unknown,open,unknown,unknown,NO
1744349160.43,340,unknown,unknown,unknown,unknown,NO
1744349161.14,350,unknown,open,unknown,unknown,NO
1744349161.84,360,unknown,unknown,unknown,unknown,NO
1744349162.58,370,unknown,open,left,unknown,NO
1744349163.34,380,unknown,unknown,center,unknown,NO
1744349164.05,390,unknown,open,right,unknown,NO
1744349164.75,400,unknown,unknown,center,unknown,NO
1744349165.46,410,unknown,unknown,left,unknown,NO
1744349166.17,420,unknown,unknown,center,unknown,NO
1744349166.87,430,unknown,unknown,right,unknown,NO
1744349167.59,440,unknown,unknown,right,unknown,NO
1744349168.35,450,unknown,unknown,left,unknown,NO
1744349169.07,460,unknown,unknown,left,unknown,NO
1744349169.77,470,unknown,unknown,left,unknown,NO
1744349170.47,480,left,unknown,right,unknown,NO
1744349171.18,490,left,unknown,left,unknown,NO
1744349171.92,500,unknown,unknown,right,unknown,NO
1744349172.62,510,unknown,unknown,right,unknown,NO
1744349173.33,520,unknown,unknown,center,unknown,NO
1744349174.04,530,unknown,open,right,unknown,NO
1744349174.74,540,unknown,open,center,unknown,NO
1744349175.46,550,unknown,open,left,unknown,NO
1744349176.16,560,unknown,open,right,unknown,NO
1744349176.87,570,unknown,gripping,left,unknown,NO
1744349177.57,580,unknown,open,unknown,unknown,NO
1744349178.29,590,unknown,open,right,unknown,NO
